Date,Close,High,Low,Open,Volume
2024-01-02,183.5621795654297,186.3308429174033,181.8317668564464,185.0552730997862,82488700
2024-01-03,182.187744140625,183.79950485996184,181.37691491631995,182.1580811288092,58414500
2024-01-04,179.8739471435547,181.04073256447916,178.85547678867908,180.1112512492328,71983600
2024-01-05,179.152099609375,180.7144169560074,178.15340966673114,179.953046197359,62379700
2024-01-08,183.48309326171875,183.52265400582172,179.46853775144191,180.05193047893468,59144500
2024-01-09,183.06776428222656,183.0776469225398,180.68473531069785,181.86141829199207,42841800
2024-01-10,184.1060485839844,184.31368968460143,181.86145160567415,182.28664662503843,46792900
2024-01-11,183.51272583007807,184.9563909902637,181.5647744262664,184.45208965863696,49128400
2024-01-12,183.83905029296875,184.64987951630312,183.1172251929773,183.97748271061096,40477800
2024-01-16,181.57467651367188,182.19761480887053,178.90488492167398,180.1211286782067,65603000
2024-01-17,180.63528442382807,180.88248621338644,178.28193364707266,179.241077797599,47317400
2024-01-18,186.5187530517578,187.0230394166836,183.7500891900385,184.0071736938823,78005800
2024-01-19,189.4159393310547,189.8015736058004,186.70661676571424,187.2109030979192,68903000
2024-01-22,191.7198181152344,193.1437028283241,190.10805762916755,190.147618364531,60133900
2024-01-23,192.9954071044922,193.55903452389103,191.66052626402544,192.83720939883852,42355600
2024-01-24,192.322998046875,194.18196038829024,192.16478527569063,193.2326988491845,53631300
2024-01-25,191.99668884277344,194.0731899615189,190.9485556432544,193.03493940214616,54822100
2024-01-26,190.26629638671875,192.5801018175765,189.7916731135176,192.09559590318423,44594000
2024-01-29,189.58401489257807,190.04875551955823,187.4580852833725,189.86087972294905,47145600
2024-01-30,185.935302734375,189.65322753238257,185.37169046557116,188.80285272092348,55859400
2024-01-31,182.3360595703125,185.0058513431809,182.2866312758536,184.94651023142663,55467800
2024-02-01,184.76852416992188,184.857513201702,181.7625567551165,181.93065217781276,64885400
2024-02-02,183.7698516845703,185.23328233515724,177.2437171517322,177.84689023760967,102551700
2024-02-05,185.579345703125,187.1317803970082,183.75994390321247,186.0440863383638,69668800
2024-02-06,187.18121337890625,187.19109601961685,184.67953227102765,184.76852130142623,43490800
2024-02-07,187.2899932861328,188.91163664571195,186.49894443287428,188.50622203381667,53439000
2024-02-08,186.2122039794922,187.418535043408,185.2530596605407,187.2702199788289,40962000
2024-02-09,186.97454833984372,188.10322646586076,186.1329835945197,186.7765224417052,45155200
2024-02-12,185.2914276123047,186.79633688725167,184.9350021289556,186.54881961012745,41781900
2024-02-13,183.20236206054688,184.360756090923,181.68755769129083,183.92512331150877,56529500
2024-02-14,182.3212127685547,183.6875129162611,180.6282031229016,183.4796068721132,54630500
2024-02-15,182.0341033935547,182.6578517542401,179.54903541760635,181.727184392981,65434500
2024-02-16,180.4994964599609,183.0142804515248,179.86585283584154,181.5984737728991,49752500
2024-02-20,179.75694274902344,180.6182980286837,178.2124373755958,179.98465441119404,53665600
2024-02-21,180.50938415527344,181.0737156195715,178.8658660184515,180.13315310757224,41371400
2024-02-22,182.53900146484372,183.12315360761588,180.64798131414128,181.6578407326569,52292200
2024-02-23,180.7073974609375,183.2023604547528,180.4202689919066,183.1726595934398,45119700
2024-02-26,179.3609161376953,180.9450175834942,178.85597124394113,180.43019254491847,40867400
2024-02-27,180.8163299560547,182.09351248592515,177.77681047698752,179.30152539649055,54318900
2024-02-28,179.61830139160156,181.3014155316966,178.34111913385524,180.6974728870872,48953900
2024-02-29,178.95497131347656,180.75690414056305,177.74708592784262,179.4698114222519,136682600
2024-03-01,177.87579345703125,178.73714862022334,175.6184374307493,177.76688526684862,73563100
2024-03-04,173.36111450195312,175.14322688917085,172.06411122315788,174.40067502541137,81510100
2024-03-05,168.4305419921875,170.33147275577412,167.93550746706842,169.0641855800497,95132400
2024-03-06,167.44049072265625,169.53944760498507,167.00485787713032,169.3612273012443,68587700
2024-03-07,167.32167053222656,169.0344857697736,166.81674075207243,167.47017484778516,71765100
2024-03-08,169.03448486328125,171.9749911536114,167.26226790901475,167.32166963491963,76267000
2024-03-11,171.03445434570312,172.64827197645664,170.34140892696936,171.22256991091453,60139500
2024-03-12,171.50967407226562,172.30173241116674,169.31171935776177,171.43046672764987,59825400
2024-03-13,169.43051147460938,171.4700511814422,169.0641756745517,171.05422401757613,52488700
2024-03-14,171.2819366455078,172.57892461566286,170.34137411890524,171.1928340614332,72913500
2024-03-15,170.90570068359375,170.90570068359375,168.5988381717502,169.47010369924573,121752700
2024-03-18,171.9947967529297,175.94517770513775,171.7967859641753,173.82643054023092,75604200
2024-03-19,174.3313446044922,174.85607994565953,171.31163124958826,172.6086191723699,55215200
2024-03-20,176.89564514160156,176.89564514160156,173.35119593354975,173.97494430389506,53423100
2024-03-21,169.66812133789062,175.72735394947048,169.14338597139206,175.29172116809335,106181300
2024-03-22,170.56910705566406,171.33146450930536,168.37115239719608,170.05426688241553,71160100
2024-03-25,169.1532745361328,170.2324459917948,167.76716903695254,168.8760564577472,54288300
2024-03-26,168.0246124267578,169.71762191427138,167.89589862566189,168.3117257823714,57388400
2024-03-27,171.58888244628906,171.87601096065072,168.42066417893392,168.7176879462108,60273300
2024-03-28,169.7770233154297,170.51957504542207,168.8166552027259,170.04434616825796,65672700
2024-04-01,168.3414306640625,169.54931605122675,167.79688969325008,169.48991432845702,46240500
2024-04-02,167.1632843017578,167.65831891419413,166.55934147029518,167.40090635433992,49329500
2024-04-03,167.96524047851562,168.98501058686435,166.9058742477708,167.11378032805132,47691700
2024-04-04,167.14344787597656,170.2126525655396,167.14344787597656,168.59883533803097,53704400
2024-04-05,167.8959197998047,168.69787335368648,167.2721714324497,167.90581505219322,42104800
2024-04-08,166.77713012695312,167.51968192191484,166.5692240844266,167.3513719945941,37425500
2024-04-09,167.98500061035156,168.39093251447707,166.67811742351924,167.02463249925154,42373800
2024-04-10,166.11376953125,167.41075745661644,165.4504251384005,167.12364410431726,49709300
2024-04-11,173.30169677734375,173.7175391133101,166.49003132152566,166.66823651643443,91070300
2024-04-12,174.7967071533203,176.58872985356905,172.47994902506244,172.52944039553972,101670900
2024-04-15,170.9750213623047,174.8758957155582,170.78690583147454,173.6185038309996,73531800
2024-04-16,167.69790649414062,172.0343988146065,166.59892920522176,170.04436539186383,73711200
2024-04-17,166.33160400390625,168.95528100035153,166.33160400390625,167.9256158132339,50901200
2024-04-18,165.38111877441406,166.96523521407434,164.8959946340493,166.36129252101995,43122900
2024-04-19,163.36138916015625,164.74747975255278,162.45052746983075,164.559379327856,68149400
2024-04-22,164.19302368164062,165.59891971474525,163.1336578084027,163.8762094876148,48116400
2024-04-23,165.24252319335938,165.39104261951863,163.28219064755024,163.70792820716713,49537800
2024-04-24,167.34149169921875,167.6187098522012,164.5593998092657,164.8861093338651,48251800
2024-04-25,168.2028350830078,168.9156860278579,166.4801094484109,167.84640961058278,50558300
2024-04-26,167.61871337890625,169.63844783702467,167.49989480565932,168.1929553099538,44838400
2024-04-29,171.77694702148438,174.28182002595528,171.38092552081974,171.64823323550502,68169400
2024-04-30,168.6384735107422,173.2521991943247,168.31174889120035,171.60868084411632,65934800
2024-05-01,167.61871337890625,170.99485287185942,167.43059781958385,167.8959315377214,50383100
2024-05-02,171.31167602539062,171.6978024171198,169.19292849767666,170.79683580066592,94214900
2024-05-03,181.55886840820312,185.14291355827163,180.84601747897057,184.7963833456082,163224100
2024-05-06,179.90545654296875,182.3707188474722,178.62825898838415,180.53910014061185,78569700
2024-05-07,180.5885772705078,183.0637497391675,179.5193160584302,181.62815272879564,77305800
2024-05-08,180.92523193359372,181.25195654794928,179.6480343404535,181.03414013837892,45057100
2024-05-09,182.737060546875,182.826163139894,180.3014839202349,180.7470119925852,48983000
2024-05-10,181.4779510498047,183.5004246665796,180.56585391849484,183.3120539854214,50759500
2024-05-13,184.6802215576172,185.4931866387208,183.0344740478803,183.84743912898392,72044800
2024-05-14,185.82032775878903,186.6828664107388,184.6901187820661,185.8996425272296,52393600
2024-05-15,188.09068298339844,189.01268886802717,185.76085876781028,186.2962297111884,70400000
2024-05-16,188.2096405029297,189.458829238671,188.0311936136785,188.83423487080037,52845200
2024-05-17,188.2393798828125,189.1713095252472,187.55530322495105,187.8824709799172,41282900
2024-05-20,189.3993225097656,190.27176982167657,187.38675756521695,187.7040166341828,44361300
2024-05-21,190.6981201171875,191.07484642166347,189.28039297280435,189.44893121149715,42309400
2024-05-22,189.2605438232422,191.1640681663492,188.63596455316463,190.6187885434668,34648500
2024-05-23,185.2750701904297,189.35968258649527,185.02721720275105,189.3398501117122,51005900
2024-05-24,188.34841918945312,188.9432723510632,186.4250777783575,187.19839293954828,36327000
2024-05-28,188.3583526611328,191.34249703943843,187.47599667367732,189.8652878598297,52280100
2024-05-29,188.65577697753903,190.59895109353056,187.8824768517226,187.9816240997488,53068000
2024-05-30,189.6471710205078,190.52952698465035,188.99285067972127,189.12172393667825,49889100
2024-05-31,190.5989532470703,190.9162123421418,188.2790528434088,189.7959119633218,75158300
2024-06-03,192.36366271972656,193.31542486412093,190.86663609575575,191.24336235629545,50080500
2024-06-04,192.680908203125,193.64257895328527,191.37223723797064,192.9684109970025,47471400
2024-06-05,194.18783569335935,195.20898869639487,193.19642383583025,193.7218709101011,54156800
2024-06-06,192.80978393554688,194.81244022862765,192.5024486640224,194.0093990023229,41181800
2024-06-07,195.19911193847656,195.2486855650071,192.47272888451312,192.978343568532,53103900
2024-06-10,191.4614715576172,195.60558138834557,190.49980075281104,195.20900753042525,97010200
2024-06-11,205.3709716796875,205.38089548057215,191.96709351098235,191.9869108572612,172373300
2024-06-12,211.2401580810547,218.3089152196564,205.1231328450552,205.58909768640683,198134300
2024-06-13,212.40008544921875,214.88852380834692,209.782758705521,212.8957913864929,97862700
2024-06-14,210.66514587402344,213.3221228300664,209.48536314811372,212.0134668282421,70122700
2024-06-17,214.8092193603516,217.0696373326701,210.8931452933454,211.5375569916551,93728300
2024-06-18,212.44964599609372,216.7523850703462,211.1707313217612,215.7213082393038,79943300
2024-06-20,207.87925720214844,212.4001085490653,207.0563985691976,212.09275812722348,86172500
2024-06-21,205.70806884765625,210.0702753319445,205.33132746963065,208.5831574221536,241805100
2024-06-24,206.35247802734372,210.87331399723783,204.8157865138524,205.93608683303725,80727000
2024-06-25,207.2745056152344,209.5646648210329,206.81844945769743,207.3538052595708,55549700
2024-06-26,211.4185791015625,213.01475280094436,208.8309935423844,209.68360834691896,66213200
2024-06-27,212.2613067626953,213.88722177256452,210.5263358320774,212.8462361886446,49772700
2024-06-28,208.8111724853516,214.21437951883613,208.4939285392998,213.9169529190877,82542700
2024-07-01,214.88851928710935,215.6419868499251,210.09999821846176,210.2685364182596,60402900
2024-07-02,218.3783264160156,218.48738234159504,213.2527281692765,214.29369867156123,58046200
2024-07-03,219.64732360839844,219.64732360839844,217.1489612238199,218.1106320389385,37369800
2024-07-05,224.39614868164065,224.5052045874235,219.74642480522968,219.74642480522968,60412400
2024-07-08,225.86349487304688,225.89323602358715,221.3327346559492,225.1397532025748,59085900
2024-07-09,226.7160797119141,227.4298975332092,224.4259205051531,225.97252074204383,48076100
2024-07-10,230.9791412353516,231.07828847688276,227.28117906796425,227.3307526887298,62627700
2024-07-11,225.61561584472656,230.39421338925845,223.83107137940016,229.40280147827104,64710600
2024-07-12,228.5601043701172,230.64207551688347,226.71607753741577,226.9540218514806,53046500
2024-07-15,232.38693237304688,235.1926297333435,231.0881852656036,234.44907084333448,62631300
2024-07-16,232.8033599853516,234.24090427881208,230.33473879844303,232.98180687397965,43234300
2024-07-17,226.91436767578125,229.47221227385296,224.69359950369105,227.479464610192,57345900
2024-07-18,222.25474548339844,228.46099458072425,220.36115997030524,228.30236502251043,66034600
2024-07-19,222.3836212158203,224.85224251867805,221.36246807560823,222.8892510128404,49151500
2024-07-22,222.03662109375,225.82380677595344,221.174082433242,225.06041535891617,48201800
2024-07-23,223.0775909423828,224.9910238167192,220.76759935066607,222.44308791792704,39960300
2024-07-24,216.6631774902344,222.86942645430565,215.2652980307627,222.07629380801336,61777600
2024-07-25,215.62217712402344,218.95332167523745,212.77681471652627,217.0497975364767,51391200
2024-07-26,216.08816528320312,217.60502442671483,214.15489978899527,216.82180047841348,41601300
2024-07-29,216.3657684326172,217.41666277155184,213.897147014136,215.09676223529075,36311800
2024-07-30,216.9209442138672,218.437803332798,214.26395224147615,217.3075942808937,41643800
2024-07-31,220.1727600097656,221.89782218872543,218.7352157578384,219.53825698895488,50036300
