Date,Ticker,Close,High,Low,Open,Volume
2024-01-02,AAPL,183.40399169921875,186.1702691079172,181.6750702031571,184.89579853453512,82488700
2024-01-03,AAPL,182.0307464599609,183.64111826756877,181.22061595613368,182.0011090098209,58414500
2024-01-04,AAPL,179.71893310546875,180.88471299934187,178.70134046081682,179.95603270422265,71983600
2024-01-05,AAPL,178.99771118164062,180.5586821654936,177.99988188294327,179.79796753554595,62379700
2024-01-08,AAPL,183.32498168945312,183.36450834315932,179.313885613353,179.89677561800764,59144500
2024-01-09,AAPL,182.9100341796875,182.9199083051763,180.52905841182087,181.7047275700206,42841800
2024-01-10,AAPL,183.9473571777344,184.154819300754,181.70469494439152,182.1295234641428,46792900
2024-01-11,AAPL,183.3546142578125,184.7970355796361,181.4083411771675,184.2931687458137,49128400
2024-01-12,AAPL,183.6806182861328,184.49074873898917,182.95941525310155,183.818931403084,40477800
2024-01-16,AAPL,181.41824340820312,182.04064501968628,178.75075193755313,179.9659478564055,65603000
2024-01-17,AAPL,180.4796600341797,180.72664884969063,178.12833676151584,179.08665457169852,47317400
2024-01-18,AAPL,186.35801696777344,186.86186875433012,183.59173905481111,183.84860201119264,78005800
2024-01-19,AAPL,189.2527008056641,189.6380027410588,186.5457131326349,187.0495648712278,68903000
2024-01-22,AAPL,191.55462646484372,192.97728431537945,189.94425472083472,189.9837813694604,60133900
2024-01-23,AAPL,192.82911682128903,193.392258603415,191.4953861517841,192.67105542323813,42355600
2024-01-24,AAPL,192.1572723388672,194.0146328029546,191.99919590043444,193.06618924735707,53631300
2024-01-25,AAPL,191.83128356933597,193.9059957810049,190.78405333725613,192.8686396751704,54822100
2024-01-26,AAPL,190.1023712158203,192.41418317249008,189.62815685740148,191.9300946873343,44594000
2024-01-29,AAPL,189.4206695556641,189.8850097627336,187.29657164460275,189.6972958396627,47145600
2024-01-30,AAPL,185.77508544921875,189.4898065747188,185.21195883551243,188.64016451675863,55859400
2024-01-31,AAPL,182.17893981933597,184.846431021382,182.12955411744667,184.7871410441138,55467800
2024-02-01,AAPL,184.6093292236328,184.69824158324056,181.6059517240919,181.77390231724044,64885400
2024-02-02,AAPL,183.6114501953125,185.0736194333644,177.0909409019771,177.69359407931566,102551700
2024-02-05,AAPL,185.41944885253903,186.9705459545833,183.6016146657499,185.8837890630235,69668800
2024-02-06,AAPL,187.0199432373047,187.02981736340612,184.5204175084795,184.6093298683978,43490800
2024-02-07,AAPL,187.1286163330078,188.74886241631052,186.33824908078665,188.3437971267345,53439000
2024-02-08,AAPL,186.05172729492188,187.25701874915856,185.09340956143063,187.1088315017113,40962000
2024-02-09,AAPL,186.8134307861328,187.94113632063824,185.97259122428568,186.61557552858977,45155200
2024-02-12,AAPL,185.1317596435547,186.63537211912904,184.7756412965565,186.38806813077576,41781900
